"","","","","","","","","","","","","","","","","","","","習慣化","楽しく勉強","兄弟姉妹","ベビークモン","先生に感謝","本が好き","プリント","計算力UP","やっててよかった","自主的","やる気","友だち","集中力UP","TOEFL","自信がつく","試験に役立つ","自分のペース","基礎力","無料体験学習","リスニング","英検","スポーツと両立","読解力","歌が好きに","仕事に役立つ","考える力","コミュニケーション","留学","音読","E-pencil","医師","ネイティブ","理系大学","志望校合格","暗算","経営者（経営学）","就職"
"","","","","","","","","学年","","","","","","","","教科","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"連番","見出し","本文","image:URL","thumbnail","embed","PN(RN)","link","0~3歳","幼児","小学生","小学生（低学年）","小学生（高学年）","中学生","高校生","大学生・社会人（OB/OG）","算数・数学","英語","国語","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37"
"1","旅行先でも KUMON !","現在小学４年生。KUMONを幼稚園の年長から始めました。最初は、国語。その後、英語、算数を始めました。親が”KUMON やりなさい”と言わなくても 自分から、黙々と宿題をやっています。旅行に行っても、友達と遊んで疲れていても、毎日、自分からしっかりと学習をしています。","https://photo.kumon.ne.jp/photo/600/20180822150027-5b7cfbfb-d46c-44f8-a197-309aac1f0ecb.jpg?1534917843","https://photo.kumon.ne.jp/photo/240/20180822150027-5b7cfbfb-d46c-44f8-a197-309aac1f0ecb.jpg?1534917843","-","KUMON 大好き君","-","","","〇","","〇","","","","〇","〇","〇","〇","","","","","","","","","〇","","〇","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","大好きなパパとKUMONの絵本","公文の絵本が大好きな息子。いっぱい絵本読んであげるからねー！","https://photo.kumon.ne.jp/photo/600/20180820114304-5b7a2ab8-4ecc-4c9d-ac09-5f92ac1f0ecb.jpg?1534733018","https://photo.kumon.ne.jp/photo/240/20180820114304-5b7a2ab8-4ecc-4c9d-ac09-5f92ac1f0ecb.jpg?1534733018","-","ゆうゆうママ","-","〇","","","","","","","","","","","","","","〇","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","はじめての夏休み","まだまだ遊びたい盛り。勉強する、机に向かう、目標に向かってがんばる、などたくさんの初めてを経験しています！","https://photo.kumon.ne.jp/photo/600/20180815230309-5b74329d-742c-4180-b0a0-7c48ac1f0ecb.jpg?1534896716","https://photo.kumon.ne.jp/photo/240/20180815230309-5b74329d-742c-4180-b0a0-7c48ac1f0ecb.jpg?1534896716","-","ちーず","-","","","","","","","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","公文タイム","公文の日以外にも、教材で使用された作品などを読み漁り、国語が大好きになりました。これからも「好き」を伸ばしてね。","https://photo.kumon.ne.jp/photo/600/20180811162432-5b6e8f30-fa08-475c-ba45-2427ac1f0ecb.jpg?1533972302","https://photo.kumon.ne.jp/photo/240/20180811162432-5b6e8f30-fa08-475c-ba45-2427ac1f0ecb.jpg?1533972302","-","ちーずらて35","-","","","","","","","","","","","〇","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","お隣が気になる！","まもなく3歳になる男女双子です。<br>
Baby Kumonを卒業し、2人揃って国語を学習中。<br>
自然とKumonタイムが日常になってきました。<br>
ついついお隣のプリントが気になります！","https://photo.kumon.ne.jp/photo/600/20180807075946-5b68d2e2-883c-4df5-b81c-5cddac1f0ecb.jpg?1533692199","https://photo.kumon.ne.jp/photo/240/20180807075946-5b68d2e2-883c-4df5-b81c-5cddac1f0ecb.jpg?1533692199","-","るみるみ","-","〇","","","","","","","","","","〇","","","〇","〇","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","夏休み^_^遊びに勉強頑張ります！","ひらがなも、数字もスラスラ読めるようになり、絵本を読んでくれます。書く練習も始まり、これからもたくさん、学んでね^_^","https://photo.kumon.ne.jp/photo/600/20180731153845-5b6003f5-718c-4158-9c2b-6174ac1f0ecb.jpg?1533105537","https://photo.kumon.ne.jp/photo/240/20180731153845-5b6003f5-718c-4158-9c2b-6174ac1f0ecb.jpg?1533105537","-","ＲＥＧＯ大好き","-","","","","","","","","","〇","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","プリント、めっちゃ楽しいの！","いつも自分から宿題を始め、辛いときでも、最後までやり抜く強さも持っていて、素晴らしいと思います。<br>
側で見守ってあげることしかできないけど、応援してるからね??","https://photo.kumon.ne.jp/photo/600/20180730114043-5b5e7aab-7308-457a-ac52-538dac1f0ecb.jpg?1532918708","https://photo.kumon.ne.jp/photo/240/20180730114043-5b5e7aab-7308-457a-ac52-538dac1f0ecb.jpg?1532918708","-","あーちゃマン","-","","","","","","","","","〇","","","〇","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","頑張ってます！","毎日コツコツと頑張ってます！来年は1年生！努力は裏切らないよ(^^)これからも応援するからね！弟くんもお姉ちゃんの頑張りみてます。","https://photo.kumon.ne.jp/photo/600/20180728155436-5b5c132c-4150-471a-9ed8-6fa3ac1f0ecb.jpg?1533105339","https://photo.kumon.ne.jp/photo/240/20180728155436-5b5c132c-4150-471a-9ed8-6fa3ac1f0ecb.jpg?1533105339","-","ずーはー","-","","〇","","","","","","","","","","〇","","〇","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","毎日の習慣は祖父母の家でも！","４歳０ヶ月から始めた公文。毎日の習慣は祖父母の家でも継続！引越し先でも公文をやりたいと熱望する娘は我が娘ながら感服します。公文の教室が大好きで、ひとりっこの娘を小学生のお姉ちゃん達が優しく可愛がってくれるのも有り難く感じています。ルビがふってあれば１冊読めるし幼稚園の面談でも字にとても興味があり読む力は褒めてもらえるほど！絵本が大好きだからと通った公文は思った以上の力をつけてくれています。","https://photo.kumon.ne.jp/photo/600/20180726101409-5b592061-38c4-4a0d-9b54-1de7ac1f0ecb.jpg?1533105102","https://photo.kumon.ne.jp/photo/240/20180726101409-5b592061-38c4-4a0d-9b54-1de7ac1f0ecb.jpg?1533105102","-","あやたか","-","","","","","","","","","","","〇","〇","","","","","〇","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","ひとりで行けるよ！いってきまーす！","英語が得意なえいとくん！これからもがんばろうね～","https://photo.kumon.ne.jp/photo/600/20180725200354-5b58591a-9540-47fb-8765-4442ac1f0ecb.jpg?1532516651","https://photo.kumon.ne.jp/photo/240/20180725200354-5b58591a-9540-47fb-8765-4442ac1f0ecb.jpg?1532516651","-","よっち","-","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","集中するための秘密の道具","自ら楽しんで工夫して学習するチカラ","https://photo.kumon.ne.jp/photo/600/20180725184113-5b5845b9-ab28-4679-8a6a-05c6ac1f0ecb.jpg?1532511680","https://photo.kumon.ne.jp/photo/240/20180725184113-5b5845b9-ab28-4679-8a6a-05c6ac1f0ecb.jpg?1532511680","-","るまぱぱ","-","","","","","","","","","〇","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","〇","","","","","","","","","","",""
"12","天井まで、頑張る??","朝、家族のなかで一番に起きるので、『おはよう』ともいわず、英語の教材から取りかかるので、１日の始まりの言葉が英語なんて凄いな～と、ホントは尊敬してますよ。コツコツと努力している姿は、こちらが励まされます。<br>
これからも、一番の応援団でいさせてね。","https://photo.kumon.ne.jp/photo/600/20180725102907-5b57d263-1b70-4520-8358-6b59ac1f0ecb.jpg?1533104167","https://photo.kumon.ne.jp/photo/240/20180725102907-5b57d263-1b70-4520-8358-6b59ac1f0ecb.jpg?1533104167","-","toranosuke-rin","-","","","","","","","","","","〇","","〇","","〇","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","6年間のできた！","学校帰りに見かけた公文教室。娘は勉強をするところとも知らず、扉を開けました。<br>
それから6年。彼女は 積み重ねてきたプリントの枚数で出来ています。<br>
『やってきたことに間違いはない。』彼女の信念が見えた一枚です。<br>
先生と出会えたことに感謝。公文と出会えたことに感謝。<br>
そして、これからも…","https://photo.kumon.ne.jp/photo/600/20180724144407-5b56bca7-27e8-4dea-b396-4a9dac1f0ecb.jpg?1532477752","https://photo.kumon.ne.jp/photo/240/20180724144407-5b56bca7-27e8-4dea-b396-4a9dac1f0ecb.jpg?1532477752","-","チッピーママ","-","","","","","","","","","","","","","","","","〇","","〇","","〇","〇","","","","","","","","","","","","","","","","","","","","","","","","","","",""
